EmployeeID,Name,Position,Org,Hire
E0001,"Doe, John",Parking Attd.,Parking,5/5/2015
E0002,Bob Smith,Paramedic,Fire,8/7/2016
E0003,Carol Lee,Dispatcher,Fire,11/10/2017
E0004,George Will,Officer,Police,2/13/2016
E0005,Michael Morre,Officer,Police,5/18/2014
E0006,Carl Stone,Officer,Police,8/20/2012
E0007,Mike J,Officer,Police,11/23/2010
E0008,Jane Smith,Enforcement Officer,Parking,2/25/2009
E0009,Alice Johnson,FireFighter,Fire,5/31/2007
E0010,Ross Riley,Officer,Police,9/2/2005
E0011,Stephene Odum,Officer,Police,12/6/2003
E0012,Bob Williams,Captain,Fire,3/10/2002
E0013,Steve Jack,Officer,Police,6/12/2000
E0014,Aaron Jane,Officer,Police,9/15/1998
